Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""FLIGHTS/FlightFinder/search_flight""), [""type"":type, ""depFrom"":depForm, ""servClass"":servClass, ""noPass"":noPass], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:48,2019-11-11 17:30:58,10.777s,PASSED
"callTestCase(findTestCase(""FLIGHTS/SelectFlight/reserve_flight""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:58,2019-11-11 17:31:03,4.271s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/purchase_flight""), [""totalPassengers"":Integer.parseInt(noPass)], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:31:03,2019-11-11 17:31:07,3.998s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/validation_purchase""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:31:07,2019-11-11 17:31:08,1.313s,PASSED
"click(findTestObject(""FLIGHTS/PurchaseMessage/button_backtoflight""))",Chrome 78.0.3904.87,,,2019-11-11 17:31:08,2019-11-11 17:31:09,1.223s,PASSED
"waitForElementVisible(findTestObject(""FLIGHTS/FligthFinder/Preferences/button_continue""), 3)",Chrome 78.0.3904.87,,,2019-11-11 17:31:09,2019-11-11 17:31:10,0.761s,PASSED
,,,,,,,
Test Cases/FLIGHTS/BulkReservations/bulk_flight_reservation,Chrome 78.0.3904.87,,,2019-11-11 17:31:10,2019-11-11 17:31:34,23.959s,PASSED
"callTestCase(findTestCase(""FLIGHTS/FlightFinder/search_flight""), [""type"":type, ""depFrom"":depForm, ""servClass"":servClass, ""noPass"":noPass], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:31:10,2019-11-11 17:31:20,10.323s,PASSED
"callTestCase(findTestCase(""FLIGHTS/SelectFlight/reserve_flight""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:31:20,2019-11-11 17:31:25,4.188s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/purchase_flight""), [""totalPassengers"":Integer.parseInt(noPass)], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:31:25,2019-11-11 17:31:31,6.254s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/validation_purchase""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:31:31,2019-11-11 17:31:32,1.351s,PASSED
"click(findTestObject(""FLIGHTS/PurchaseMessage/button_backtoflight""))",Chrome 78.0.3904.87,,,2019-11-11 17:31:32,2019-11-11 17:31:33,1.076s,PASSED
"waitForElementVisible(findTestObject(""FLIGHTS/FligthFinder/Preferences/button_continue""), 3)",Chrome 78.0.3904.87,,,2019-11-11 17:31:33,2019-11-11 17:31:34,0.719s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Chrome 78.0.3904.87,,,2019-11-11 17:31:34,2019-11-11 17:31:36,2.088s,PASSED
closeBrowser(),Chrome 78.0.3904.87,,,2019-11-11 17:31:34,2019-11-11 17:31:36,1.967s,PASSED
